Name,Film
Michael Myers,Halloween
Freddy Krueger,A Nightmare on Elm Street
Jason Voorhees,Friday the 13th
Leatherface,The Texas Chain Saw Massacre
Norman Bates,Psycho
Regan MacNeil,The Exorcist
Jack Torrance,The Shining
Pennywise,It
Chucky,Child's Play
Hannibal Lecter,The Silence of the Lambs
Jigsaw,Saw
Samara Morgan,The Ring
Ghostface,Scream
Pinhead,Hellraiser
Leprechaun,Leprechaun
Damien Thorn,The Omen
Carrie White,Carrie
Annie Wilkes,Misery
Kayako Saeki,The Grudge
Pamela Voorhees,Friday the 13th
The Babadook,The Babadook
The Creeper,Jeepers Creepers
Djinn,Wishmaster
Candyman,Candyman
Ben Willis,I Know What You Did Last Summer
Esther Coleman,Orphan
Bagul,Sinister
Victor Crowley,Hatchet
Sam,Trick 'r Treat
Annabelle,Annabelle
Valak,The Conjuring 2
The Nun,The Nun
Blair Witch,Blair Witch Project
Jeremiah Sand,Mandy
Michael Myers,Halloween
Bubba Sawyer,The Texas Chain Saw Massacre
Bruce,Jaws
Patrick Bateman,American Psycho
Max Cady,Cape Fear
Freddy Krueger,A Nightmare on Elm Street
Dracula,Dracula
Frankenstein's monster,Frankenstein
Mummy,The Mummy
Wolf Man,The Wolf Man
Invisible Man,The Invisible Man
Bride of Frankenstein,The Bride of Frankenstein
Creature from the Black Lagoon,Creature from the Black Lagoon
Gill-man,Creature from the Black Lagoon
King Kong,King Kong
Godzilla,Godzilla
