Name,Film
Ash Williams,Evil Dead
Thomasin,The Witch
Art the Clown,Terrifier
Grace Le Domas,Ready or Not
Brigitte Fitzgerald,Ginger Snaps
Ginger Fitzgerald,Ginger Snaps
Mick Taylor,Wolf Creek
Dren,Splice
Eden Sinclair,Doomsday
Lola Stone,The Loved Ones
David Collins,The Guest
Madman Marz,Madman
Billy,Black Christmas
Brahms,The Boy
Dr. Heiter,The Human Centipede
Nina Sayers,Black Swan
Adelaide Wilson,Us
Red,Us
Thomas Howard,The Lighthouse
Ephraim Winslow,The Lighthouse
Father Merrin,The Exorcist
Dana Polk,The Cabin in the Woods
Marty Mikalski,The Cabin in the Woods
Erin,You're Next
Lila Crane,Psycho
Nica Pierce,Curse of Chucky
Malachai Boardman,Children of the Corn
Isaac Chroner,Children of the Corn
Selena,28 Days Later
Jim Halsey,The Hitcher
John Ryder,The Hitcher
Jesse Walsh,A Nightmare on Elm Street 2: Freddy's Revenge
Glen Lantz,A Nightmare on Elm Street
Kris Fowles,A Nightmare on Elm Street
Quint,Jaws
Martin Brody,Jaws
Larry Cotton,Hellraiser
Kirsty Cotton,Hellraiser
Frank Cotton,Hellraiser
Julia Cotton,Hellraiser
Sarah Carter,The Descent
Juno Kaplan,The Descent
Paul Sheldon,Misery
Annie Graham,Hereditary
Peter Graham,Hereditary
Steve Freeling,Poltergeist
Diane Freeling,Poltergeist
Carol Anne Freeling,Poltergeist
Tangina Barrons,Poltergeist
Elliot,E.T. the Extra-Terrestrial
