Name,Film
Sidney Prescott,Scream
Ghostface,Scream
Gale Weathers,Scream
Dewey Riley,Scream
Tatum Riley,Scream
David Drayton,The Mist
Mrs. Carmody,The Mist
Amanda Dunfrey,The Mist
Dan Miller,The Mist
Jim Grondin,The Mist
Ollie Weeks,The Mist
Brent Norton,The Mist
Billy Drayton,The Mist
Private Jessup,The Mist
Hattie,The Mist
Annie Graham,Hereditary
Peter Graham,Hereditary
Steve Graham,Hereditary
Charlie Graham,Hereditary
Joan,Hereditary
Ellen Leigh,Hereditary
Bridget,Hereditary
Ruth,Hereditary
Aaron,Hereditary
Nancy,Hereditary
