Name,Film
Regan MacNeil,The Exorcist
Father Merrin,The Exorcist
Father Karras,The Exorcist
Chris MacNeil,The Exorcist
Lt. Kinderman,The Exorcist
Dan Torrance,Doctor Sleep
Abra Stone,Doctor Sleep
Rose the Hat,Doctor Sleep
Billy Freeman,Doctor Sleep
Dick Hallorann,Doctor Sleep
Cujo,Cujo
Donna Trenton,Cujo
Tad Trenton,Cujo
Vic Trenton,Cujo
Steve Kemp,Cujo
Dana Polk,The Cabin in the Woods
Curt Vaughan,The Cabin in the Woods
Jules Louden,The Cabin in the Woods
Holden McCrea,The Cabin in the Woods
Marty Mikalski,The Cabin in the Woods
Sitterson,The Cabin in the Woods
Hadley,The Cabin in the Woods
Mordecai,The Cabin in the Woods
The Director,The Cabin in the Woods
Patience Buckner,The Cabin in the Woods
