Name,Film
Ellie,Evil Dead Rise
Beth,Evil Dead Rise
Kassie,Evil Dead Rise
Danny,Evil Dead Rise
Bridget,Evil Dead Rise
MacReady,The Thing
Childs,The Thing
Blair,The Thing
Windows,The Thing
Clark,The Thing
Nauls,The Thing
Copper,The Thing
Norris,The Thing
Garry,The Thing
Palmer,The Thing
George Bennings,The Thing
Fuchs,The Thing
Pennywise,IT
Beverly Marsh,IT
Richie Tozier,IT
Georgie Denbrough,IT
Eddie Kaspbrak,IT
Bill Denbrough,IT
Ben Hanscom,IT
Stanley Uris,IT
Mike Hanlon,IT
Henry Bowers,IT
Billy Loomis,Scream
Cotton Weary,Scream
Dewey Riley,Scream
Gale Weathers,Scream
Ghostface,Scream
Randy Meeks,Scream
Sidney Prescott,Scream
Stu Macher,Scream
Tatum Riley,Scream
Donna Trenton,Cujo
Tad Trenton,Cujo
Vic Trenton,Cujo
Steve Kemp,Cujo
Tallahassee,Zombieland
Columbus,Zombieland
Little Rock,Zombieland
Wichita,Zombieland
Dana Polk,The Cabin in the Woods
Curt Vaughan,The Cabin in the Woods
Jules Louden,The Cabin in the Woods
Marty Mikalski,The Cabin in the Woods
Jesse Williams,The Cabin in the Woods
Martin Brody,Jaws
Quint,Jaws
Matt Hooper,Jaws
Ellen Brody,Jaws
Dallas,Alien
Kane,Alien
Ripley,Alien
Lambert,Alien
Parker,Alien
Ash,Alien
Addy Wilson,Us
Red,Us
Gabe Wilson,Us
Abraham,Us
Zora Wilson,Us
Umbrae,Us
Jason Wilson,Us
Pluto,Us
Annie Graham,Hereditary
Steve Graham,Hereditary
Peter Graham,Hereditary
Charlie Graham,Hereditary
Joan,Hereditary
Dan Torrance,Doctor Sleep
Rose the Hat,Doctor Sleep
Abra Stone,Doctor Sleep
Dick Hallorann,Doctor Sleep
Wendy Torrance,Doctor Sleep
Rose Cotter,Smile
Joel,Smile
Trevor,Smile
Madeline Northcott,Smile
The Monstrosity,Smile
Grace,Ready or Not
Daniel Le Domas,Ready or Not
Alex Le Domas,Ready or Not
Tony Le Domas,Ready or Not
Becky Le Domas,Ready or Not
Emilie Le Domas,Ready or Not
Fitch Bradley,Ready or Not
Chris MacNeil,The Exorcist
Regan MacNeil,The Exorcist
Lankester Merrin,The Exorcist
Damien Karras,The Exorcist
Burke Dennings,The Exorcist
David Drayton,The Mist
Mrs Carmody,The Mist
Amanda Dunfrey,The Mist
Brent Norton,The Mist
Ollie Weeks,The Mist
Billy Drayton,The Mist
