Name,Film
Michael Myers,Halloween
Freddy Krueger,A Nightmare on Elm Street
Jason Voorhees,Friday the 13th
Leatherface,The Texas Chain Saw Massacre
Norman Bates,Psycho
Regan MacNeil,The Exorcist
Jack Torrance,The Shining
Pennywise,It
Chucky,Child's Play
Hannibal Lecter,The Silence of the Lambs
Jigsaw,Saw
Samara Morgan,The Ring
Ghostface,Scream
Pinhead,Hellraiser
Leprechaun,Leprechaun
Damien Thorn,The Omen
Carrie White,Carrie
Annie Wilkes,Misery
Kayako Saeki,The Grudge
Pamela Voorhees,Friday the 13th
The Babadook,The Babadook
The Creeper,Jeepers Creepers
Djinn,Wishmaster
Candyman,Candyman
Ben Willis,I Know What You Did Last Summer
Esther Coleman,Orphan
Bagul,Sinister
Victor Crowley,Hatchet
Sam,Trick 'r Treat
Annabelle,Annabelle
Valak,The Conjuring 2
The Nun,The Nun
Blair Witch,Blair Witch Project
Jeremiah Sand,Mandy
Michael Myers,Halloween
Bubba Sawyer,The Texas Chain Saw Massacre
Bruce,Jaws
Patrick Bateman,American Psycho
Max Cady,Cape Fear
Freddy Krueger,A Nightmare on Elm Street
Dracula,Dracula
Frankenstein's monster,Frankenstein
Mummy,The Mummy
Wolf Man,The Wolf Man
Invisible Man,The Invisible Man
Bride of Frankenstein,The Bride of Frankenstein
Creature from the Black Lagoon,Creature from the Black Lagoon
Ash Williams,Evil Dead
Thomasin,The Witch
Art the Clown,Terrifier
Grace Le Domas,Ready or Not
Brigitte Fitzgerald,Ginger Snaps
Ginger Fitzgerald,Ginger Snaps
Mick Taylor,Wolf Creek
Dren,Splice
Eden Sinclair,Doomsday
Lola Stone,The Loved Ones
David Collins,The Guest
Madman Marz,Madman
Billy,Black Christmas
Brahms,The Boy
Dr. Heiter,The Human Centipede
Nina Sayers,Black Swan
Adelaide Wilson,Us
Red,Us
Thomas Howard,The Lighthouse
Ephraim Winslow,The Lighthouse
Father Merrin,The Exorcist
Dana Polk,The Cabin in the Woods
Marty Mikalski,The Cabin in the Woods
Erin,You're Next
Lila Crane,Psycho
Nica Pierce,Curse of Chucky
Malachai Boardman,Children of the Corn
Isaac Chroner,Children of the Corn
Selena,28 Days Later
Jim Halsey,The Hitcher
John Ryder,The Hitcher
Jesse Walsh,A Nightmare on Elm Street 2: Freddy's Revenge
Glen Lantz,A Nightmare on Elm Street
Kris Fowles,A Nightmare on Elm Street
Quint,Jaws
Martin Brody,Jaws
Larry Cotton,Hellraiser
Kirsty Cotton,Hellraiser
Frank Cotton,Hellraiser
Julia Cotton,Hellraiser
Sarah Carter,The Descent
Juno Kaplan,The Descent
Paul Sheldon,Misery
Annie Graham,Hereditary
Peter Graham,Hereditary
Steve Freeling,Poltergeist
Diane Freeling,Poltergeist
Carol Anne Freeling,Poltergeist
Tangina Barrons,Poltergeist
Elliot,E.T. the Extra-Terrestrial
Gill-man,Creature from the Black Lagoon
King Kong,King Kong
Godzilla,Godzilla
